name,artist,id,popularity,genres,album,release_date,explicit,duration_ms
Haunted,Luke Bower,6xhWqGaW9Uqrc87ztIjlQ2,43,"christian folk, christian country, christian",Man On Fire (Deluxe),2024-06-21,False,245920
Under The Influence,Chris Brown,5IgjP7X4th6nMNDh4akUHb,84,r&b,Indigo (Extended),2019-10-04,True,184613
WHIM WHAMIEE (feat. YKNIECE),PLUTO,177s589pGfNvcIX07n2Ecl,69,,BOTH WAYS,2025-06-20,True,141538
Im So ATL,Bankroll Ni,5jZxV3cIOVac9NObhBWfVX,65,,Im So ATL,2025-04-18,True,124782
Je te laisserai des mots,Patrick Watson,44A0o4jA8F2ZF03Zacwlwx,82,,Je te laisserai des mots,2010-09-10,False,160853
Come Forth,CAIN,7G9od7QNw1snBdtiyBE5Eu,45,"christian, worship, christian country, christian pop, ccm",Rise Up,2021-05-07,False,156199
Wide As The Sky - Live,Matt Redman,0E4c6Nu7s65KQwYTsbfEr0,30,"worship, christian, pop worship, ccm",Your Grace Finds Me (Live),2014-01-01,False,311133
Our God Reigns (Psalm 47) - Live,Cody Carnes,10XJudcjQ039tT3jtzdkrO,31,"worship, christian",God Is Good! (Live),2022-09-30,False,345916
Your Will,Lee Vasi,3c06N48ZgdY9eCHQ1HBJde,50,"gospel r&b, christian pop, christian hip hop",Your Will,2024-02-09,False,149538
The Blessing (Live),Elevation Worship,5O306r2a9Nl7rm5ZlaTqka,67,"worship, christian, ccm, gospel, pop worship",Graves Into Gardens (Live),2020-05-01,False,507306
joy.,for KING & COUNTRY,0vBjd0I8iefycEZ2ex1Zpi,59,"christian, ccm, christian pop, worship",Burn The Ships,2018-10-05,False,233946
Duvet,bôa,42qNWdLKCI41S4uzfamhFM,84,,Twilight,2001-03-21,False,203600
Kiss Me,Sixpence None The Richer,754kgU5rWscRTfvlsuEwFp,84,,Sixpence None The Richer,1997-11-22,False,208680
10K,KB,6RSQJWAsHqCAqhH9cgStE5,59,"christian hip hop, christian, christian pop",His Glory Alone,2020-09-25,False,196132
Worthy,Elevation Worship,7qqtTPQIMXAFubamFBPHG5,69,"worship, christian, ccm, gospel, pop worship",Hallelujah Here Below,2018-09-28,False,371616
Get Behind Me (feat. Zach Williams),Emerson Day,1TQoteChnevdwvlnOzYmDB,52,"christian country, christian, christian rock",Get Behind Me (feat. Zach Williams),2025-03-28,False,193000
Promises (feat. Joe L Barnes),Maverick City Music,5suRrn5N4HNeRXOpBTdmZt,67,"worship, gospel, christian","Maverick City Music, Vol. 3: Pt. 1",2020-04-17,False,646239
Touch Of Heaven - Live,Hillsong Worship,0X7KcOQdOeAuHQjURq0PVL,55,"worship, christian, pop worship, ccm, gospel",There Is More,2018-04-06,False,427546
Jesus Your Name - Live,htb worship,1GVnsWXWZUrfkzkIUZPh5Q,31,worship,Jesus Your Name (Live),2025-07-11,False,279662
Tití Me Preguntó,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,83,"reggaeton, trap latino, urbano latino, latin",Un Verano Sin Ti,2022-05-06,True,243716
